Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
2006,Serbia and Montenegro,0,1,Netherlands
2006,Mexico,3,1,Iran
2006,Angola,0,1,Portugal
2006,Australia,3,1,Japan
2006,USA,0,3,Czech Republic
2006,Italy,2,0,Ghana
2006,Korea Republic,2,1,Togo
2006,France,0,0,Switzerland
2006,Brazil,1,0,Croatia
2006,Spain,4,0,Ukraine
2006,Tunisia,2,2,Saudi Arabia
2006,Germany,1,0,Poland
2006,Ecuador,3,0,Costa Rica
2006,England,2,0,Trinidad and Tobago
2006,Sweden,1,0,Paraguay
2006,Argentina,6,0,Serbia and Montenegro
2006,Netherlands,2,1,Ivory Coast
2006,Mexico,0,0,Angola
2006,Portugal,2,0,IR Iran
2006,Czech Republic,0,2,Ghana
2006,Italy,1,1,USA
2006,Japan,0,0,Croatia
2006,Brazil,2,0,Australia
2006,France,1,1,Korea Republic
2006,Togo,0,2,Switzerland
2006,Saudi Arabia,0,4,Ukraine
2006,Spain,3,1,Tunisia
2006,Ecuador,0,3,Germany
2006,Costa Rica,1,2,Poland
2006,Sweden,2,2,England
2006,Paraguay,2,0,Trinidad and Tobago
2006,Iran,1,1,Angola
2006,Portugal,2,1,Mexico
2006,Netherlands,0,0,Argentina
2006,Ivory Coast,3,2,Serbia and Montenegro
2006,Czech Republic,0,2,Italy
2006,Ghana,2,1,USA
2006,Japan,1,4,Brazil
2006,Croatia,2,2,Australia
2006,Ukraine,1,0,Tunisia
2006,Saudi Arabia,0,1,Spain
2006,Togo,0,2,France
2006,Switzerland,2,0,Korea Republic
2006,Germany,2,0,Sweden
2006,Argentina,2,1,Mexico
2006,England,1,0,Ecuador
2006,Portugal,1,0,Netherlands
2006,Italy,1,0,Australia
2006,Switzerland,0,0,Ukraine
2006,Brazil,3,0,Ghana
2006,Spain,1,3,France
2006,Germany,1,1,Argentina
2006,Italy,3,0,Ukraine
2006,England,0,0,Portugal
2006,Brazil,0,1,France
2006,Germany,0,2,Italy
2006,Portugal,0,1,France
2006,Germany,3,1,Portugal
2006,Italy,1,1,France
2010,South Africa,1,1,Mexico
2010,Uruguay,0,0,France
2010,Korea Republic,2,0,Greece
2010,Argentina,1,0,Nigeria
2010,England,1,1,USA
2010,Algeria,0,1,Slovenia
2010,Serbia,0,1,Ghana
2010,Germany,4,0,Australia
2010,Netherlands,2,0,Denmark
2010,Japan,1,0,Cameroon
2010,Italy,1,1,Paraguay
2010,New Zealand,1,1,Slovakia
2010,Ivory Coast,0,0,Portugal
2010,Brazil,2,1,Korea DPR
2010,Honduras,0,1,Chile
2010,Spain,0,1,Switzerland
2010,South Africa,0,3,Uruguay
2010,Argentina,4,1,Korea Republic
2010,Greece,2,1,Nigeria
2010,France,0,2,Mexico
2010,Germany,0,1,Serbia
2010,Slovenia,2,2,USA
2010,England,0,0,Algeria
2010,Netherlands,1,0,Japan
2010,Ghana,1,1,Australia
2010,Cameroon,1,2,Denmark
2010,Slovakia,0,2,Paraguay
2010,Italy,1,1,New Zealand
2010,Brazil,3,1,Ivory Coast
2010,Portugal,7,0,Korea DPR
2010,Chile,1,0,Switzerland
2010,Spain,2,0,Honduras
2010,Mexico,0,1,Uruguay
2010,France,1,2,South Africa
2010,Nigeria,2,2,Korea Republic
2010,Greece,0,2,Argentina
2010,Slovenia,0,1,England
2010,USA,1,0,Algeria
2010,Ghana,0,1,Germany
2010,Australia,2,1,Serbia
2010,Slovakia,3,2,Italy
2010,Paraguay,0,0,New Zealand
2010,Denmark,1,3,Japan
2010,Cameroon,1,2,Netherlands
2010,Portugal,0,0,Brazil
2010,Korea DPR,0,3,Ivory Coast
2010,Chile,1,2,Spain
2010,Switzerland,0,0,Honduras
2010,Uruguay,2,1,Korea Republic
2010,USA,1,2,Ghana
2010,Germany,4,1,England
2010,Argentina,3,1,Mexico
2010,Netherlands,2,1,Slovakia
2010,Brazil,3,0,Chile
2010,Paraguay,0,0,Japan
2010,Spain,1,0,Portugal
2010,Netherlands,2,1,Brazil
2010,Uruguay,1,1,Ghana
2010,Argentina,0,4,Germany
2010,Paraguay,0,1,Spain
2010,Uruguay,2,3,Netherlands
2010,Germany,0,1,Spain
2010,Uruguay,2,3,Germany
2010,Netherlands,0,1,Spain
2014,Brazil,3,1,Croatia
2014,Mexico,1,0,Cameroon
2014,Spain,1,5,Netherlands
2014,Chile,3,1,Australia
2014,Colombia,3,0,Greece
2014,Uruguay,1,3,Costa Rica
2014,England,1,2,Italy
2014,Ivory Coast,2,1,Japan
2014,Switzerland,2,1,Ecuador
2014,France,3,0,Honduras
2014,Argentina,2,1,Bosnia and Herzegovina
2014,Germany,4,0,Portugal
2014,IR Iran,0,0,Nigeria
2014,Ghana,1,2,USA
2014,Belgium,2,1,Algeria
2014,Brazil,0,0,Mexico
2014,Russia,1,1,Korea Republic
2014,Australia,2,3,Netherlands
2014,Spain,0,2,Chile
2014,Cameroon,0,4,Croatia
2014,Colombia,2,1,Ivory Coast
2014,Uruguay,2,1,England
2014,Japan,0,0,Greece
2014,Italy,0,1,Costa Rica
2014,Switzerland,2,5,France
2014,Honduras,1,2,Ecuador
2014,Argentina,1,0,IR Iran
2014,Germany,2,2,Ghana
2014,Nigeria,1,0,Bosnia and Herzegovina
2014,Belgium,1,0,Russia
2014,Korea Republic,2,4,Algeria
2014,USA,2,2,Portugal
2014,Australia,0,3,Spain
2014,Netherlands,2,0,Chile
2014,Cameroon,1,4,Brazil
2014,Croatia,1,3,Mexico
2014,Italy,0,1,Uruguay
2014,Costa Rica,0,0,England
2014,Japan,1,4,Colombia
2014,Greece,2,1,Ivory Coast
2014,Nigeria,2,3,Argentina
2014,Bosnia and Herzegovina,3,1,IR Iran
2014,Honduras,0,3,Switzerland
2014,Ecuador,0,0,France
2014,USA,0,1,Germany
2014,Portugal,2,1,Ghana
2014,Korea Republic,0,1,Belgium
2014,Algeria,1,1,Russia
2014,Brazil,1,1,Chile
2014,Colombia,2,0,Uruguay
2014,France,2,0,Nigeria
2014,Germany,2,1,Algeria
2014,Brazil,2,1,Colombia
2014,France,0,1,Germany
2014,Brazil,1,7,Germany
2014,Brazil,0,3,Netherlands
2014,Germany,1,0,Argentina
2014,Netherlands,0,0,Argentina
2014,Netherlands,0,0,Costa Rica
2014,Argentina,1,0,Belgium
2014,Netherlands,2,1,Mexico
2014,Costa Rica,1,1,Greece
2014,Argentina,1,0,Switzerland
2014,Belgium,2,1,USA
2014,Brazil,1,1,Chile
2014,Colombia,2,0,Uruguay
2014,Netherlands,2,1,Mexico
2014,Costa Rica,1,1,Greece
2014,France,2,0,Nigeria
2014,Germany,2,1,Algeria
2014,Argentina,1,0,Switzerland
2014,Belgium,2,1,USA
2014,France,0,1,Germany
2014,Brazil,2,1,Colombia
2014,Argentina,1,0,Belgium
2014,Netherlands,0,0,Costa Rica
2014,Brazil,1,7,Germany
2014,Netherlands,0,0,Argentina
2014,Brazil,0,3,Netherlands
2014,Germany,1,0,Argentina
